antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'BAGUETTE'}),frozenset({'COUPE'}),0.05433472897649945,0.16837871340770985,0.013332293102402066,0.2453733248245054,1.4572704581152245,0.004183481343982477,1.1020300685751532,0.33181464004610073
frozenset({'BAGUETTE'}),frozenset({'CROISSANT'}),0.05433472897649945,0.09922069366065933,0.012760166090205359,0.23484365028717294,2.366881762491524,0.007369036591293157,1.1772486847654269,0.6106845680889469
frozenset({'BAGUETTE'}),frozenset({'TRADITIONAL BAGUETTE'}),0.05433472897649945,0.5854332995258281,0.01765792005825293,0.32498404594767066,0.5551171178866859,-0.014151439605300763,0.6141583735693948,-0.45871882261325014
frozenset({'BOULE 200G'}),frozenset({'COUPE'}),0.023275167087093335,0.16837871340770985,0.02067458975892648,0.8882681564245809,5.275418361665117,0.01675554707045223,7.44301051500099,0.8297542428576993
frozenset({'BOULE 400G'}),frozenset({'COUPE'}),0.03538518884525698,0.16837871340770985,0.02810357232638979,0.79421852033317,4.7168582314206216,0.022145459754936574,4.041283442702057,0.8169006603431023
frozenset({'CAMPAGNE'}),frozenset({'COUPE'}),0.033738156537417976,0.16837871340770985,0.026976655484184157,0.7995889003083247,4.748752880491558,0.021295868093665803,4.149576983868196,0.8169818574960442
frozenset({'COMPLET'}),frozenset({'COUPE'}),0.027158695897155836,0.16837871340770985,0.020059119791260325,0.7385892116182572,4.386476156459562,0.015486173518265978,3.1812814296625693,0.7935791481755214
frozenset({'MOISSON'}),frozenset({'COUPE'}),0.026829289435588034,0.16837871340770985,0.019140249135308037,0.7134087237479806,4.236929415302888,0.014622767898500661,2.9017676234533685,0.7850421418664286
frozenset({'SPECIAL BREAD'}),frozenset({'COUPE'}),0.044920639048535445,0.16837871340770985,0.026430534245269116,0.5883828637591663,3.4944017082163126,0.018866854836824584,2.0203757651763934,0.7474017426260524
frozenset({'COUPE'}),frozenset({'TRADITIONAL BAGUETTE'}),0.16837871340770985,0.5854332995258281,0.05301710313022824,0.31486820428336076,0.5378378792910966,-0.045557402629961136,0.6050904410888425,-0.5081834419654471
frozenset({'VIK BREAD'}),frozenset({'COUPE'}),0.02709801575949861,0.16837871340770985,0.019885747969382535,0.7338451695457453,4.358301323807024,0.015323018939896314,3.1245770936147816,0.7920148387278549
frozenset({'PAIN AU CHOCOLAT'}),frozenset({'CROISSANT'}),0.09127159562756265,0.09922069366065933,0.04675838036044002,0.5122993636622661,5.163231023302059,0.037702349330758056,1.8469922719468195,0.8873089262128268
frozenset({'CROISSANT'}),frozenset({'PAIN AU CHOCOLAT'}),0.09922069366065933,0.09127159562756265,0.04675838036044002,0.471256334090512,5.163231023302059,0.037702349330758056,1.7186558685470785,0.8951391523186765
frozenset({'CROISSANT'}),frozenset({'TRADITIONAL BAGUETTE'}),0.09922069366065933,0.5854332995258281,0.04271014831959362,0.4304560545168618,0.735277707751694,-0.01537694975140759,0.7278923843576273,-0.2855548812769828
frozenset({'MOISSON'}),frozenset({'TRADITIONAL BAGUETTE'}),0.026829289435588034,0.5854332995258281,0.01007290285109961,0.3754442649434572,0.6413100608515921,-0.005633856587110136,0.6637785504229498,-0.36496956654645313
frozenset({'PAIN AU CHOCOLAT'}),frozenset({'TRADITIONAL BAGUETTE'}),0.09127159562756265,0.5854332995258281,0.03645142554980539,0.3993731598442397,0.6821838801580165,-0.016982005831425756,0.6902234012164067,-0.3389185481371917
frozenset({'SPECIAL BREAD'}),frozenset({'TRADITIONAL BAGUETTE'}),0.044920639048535445,0.5854332995258281,0.01167659220346917,0.2599382477807796,0.4440100144479596,-0.01462144573152369,0.5601785246042135,-0.5673050050501156
frozenset({'VIK BREAD'}),frozenset({'TRADITIONAL BAGUETTE'}),0.02709801575949861,0.5854332995258281,0.013861077159129327,0.5115163147792706,0.8737396987728122,-0.002003003617556832,0.8486807502830788,-0.12932221310631703
"frozenset({'VIK BREAD', 'TRADITIONAL BAGUETTE'})",frozenset({'COUPE'}),0.013861077159129327,0.16837871340770985,0.010133582988756837,0.7310819262038774,4.3418904409469254,0.007799672650257647,3.0924707843280737,0.7805042040692575
"frozenset({'VIK BREAD', 'COUPE'})",frozenset({'TRADITIONAL BAGUETTE'}),0.019885747969382535,0.5854332995258281,0.010133582988756837,0.509590235396687,0.8704496922355285,-0.0015081960584978158,0.8453475652335558,-0.13183226403389658
frozenset({'VIK BREAD'}),"frozenset({'TRADITIONAL BAGUETTE', 'COUPE'})",0.02709801575949861,0.05301710313022824,0.010133582988756837,0.37396033269353807,7.05357913982895,0.00869692469261095,1.512656379976958,0.8821320307639056
"frozenset({'TRADITIONAL BAGUETTE', 'CROISSANT'})",frozenset({'PAIN AU CHOCOLAT'}),0.04271014831959362,0.09127159562756265,0.019660364600941407,0.4603206819565658,5.043416615996531,0.015762141214322234,1.683830330328318,0.8374910827996588
"frozenset({'TRADITIONAL BAGUETTE', 'PAIN AU CHOCOLAT'})",frozenset({'CROISSANT'}),0.03645142554980539,0.09922069366065933,0.019660364600941407,0.5393579072532698,5.435941710888516,0.016043628872969836,1.9554863103546343,0.8469103227741392
"frozenset({'PAIN AU CHOCOLAT', 'CROISSANT'})",frozenset({'TRADITIONAL BAGUETTE'}),0.04675838036044002,0.5854332995258281,0.019660364600941407,0.4204671857619577,0.7182153562199404,-0.007713548293954674,0.7153463795130145,-0.29157653818447804
frozenset({'PAIN AU CHOCOLAT'}),"frozenset({'TRADITIONAL BAGUETTE', 'CROISSANT'})",0.09127159562756265,0.04271014831959362,0.019660364600941407,0.21540507170671477,5.043416615996531,0.015762141214322234,1.2201071115292335,0.882245685927043
